Projekt_numer;Projekt_zespół;ID. Części;Rewizja;Opis;Numer katalogowy;Materiał;Typ;Obróbka cieplna;Powłoka;Handlowe;Zużywające;Spawanie;Uwagi;Liczba odniesień
2010;000;PRT-A0070656;0;Listwa prowadząca M400-II (1870);M-400 II;Trilogiq;H. Mech.;-;-;H;-;-;-;1
;;Balancer 9313;B;Balanser;9313;Tecna;H. Mech.;-;-;H;-;-;-;3
2010;000;PRT-A0070640;A;Mocowanie szyny;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;2
;;CM638;C;Rolka prowadząca;CM638;Trilogiq;H. Mech.;-;-;H;-;-;-;6
2010;000;PRT-A0070663-Lustro;0;Uchwyt - Lustro;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;1
2010;000;PRT-A0070654;A;Szyna balansera 1870;-;0H18N9/1.4301;Laser;-;-;-;-;-;-;1
2010;000;PRT-A0070641;A;Prowadzenie wkrętarki;-;C45/1.0503;CNC;32 HRC±2HRC;Czernić;-;-;-;-;2
;;GX 150;B;Wkrętarka;GX 150;DOGA;H. Mech.;-;-;H;-;-;-;3
2010;000;PRT-A0070663;A;Uchwyt;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;1
2010;000;PRT-A0070638;;Czujnik indukyjny;BES008F;BALLUFF;H. Elek.;-;-;H;-;-;-;2
2010;000;PRT-A0070670;A;Mocowanie balansera;-;0H18N9/1.4301;Laser;-;-;-;-;-;-;3
2010;000;PRT-A0069839;A;Slizg;-;0H18N9/1.4301;Laser;-;-;-;Z;-;-;12
;;Profil 45x45 L=326;C;Profil 45x45;3 842 992 425;Profile BOSCH;H. Mech.;-;-;P;-;-;-;12
;-;K1065.10;0;Tuleje mocujące do trzpieni montażowych;-;KIPP;H. Mech.;-;-;H;-;-;-;12
2010;000;PRT-A0069972;A;Paletka bazująca;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;3
2010;000;PRT-A0069853;A;Mocowanie paletki bazowej;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;10
2010;723;PRT-A0072043;A;Slizg OP723;-;PA 6 /Poliamid;Skrawanie;-;Kolor: Zielony;-;Z;-;-;2
2010;723;PRT-A0070328;A;Paletka OP723;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;1
2010;710;PRT-A0070473-Lustro;A;-;-;PA13/3.3547;-;-;-;-;-;-;-;4
2010;710;PRT-A0070510;A;Podstawa pod gniazdo;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;4
2010;710;PRT-A0070426;A;Gniazdo VIII;-;Tecaform AH ELS;CNC;-;-;-;Z;-;;4
2010;710;PRT-A0070497-Lustro;A;-;-;PA13/3.3547;-;-;-;-;-;-;-;8
2010;710;PRT-A0070145;A;Gniazdo I;-;Tecaform AH ELS;CNC;-;-;-;Z;-;;4
2010;710;PRT-A0070405-Lustro;A;-;-;Tecaform AH ELS;-;-;-;-;-;-;-;4
2010;710;PRT-A0070497;A;Podstawa pod gniazdo;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;8
2010;710;PRT-A0070501-Lustro;A;-;-;PA13/3.3547;-;-;-;-;-;-;-;4
2010;710;PRT-A0070374;A;Gniazdo III;-;Tecaform AH ELS;CNC;-;-;-;Z;-;;4
2010;710;PRT-A0070374-Lustro;A;-;-;Tecaform AH ELS;-;-;-;-;-;-;-;4
2010;710;PRT-A0070501;A;Podstawa pod gniazdo;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;4
2010;710;PRT-A0070145-Lustro;A;-;-;Tecaform AH ELS;-;-;-;-;-;-;-;4
2010;710;PRT-A0070419;A;Gniazdo VI;-;Tecaform AH ELS;CNC;-;-;-;Z;-;;4
2010;710;PRT-A0070510-Lustro;A;-;-;PA13/3.3547;-;-;-;-;-;-;-;4
2010;710;PRT-A0070419-Lustro;A;-;-;Tecaform AH ELS;-;-;-;-;-;-;-;4
2010;710;PRT-A0070473;A;Podstawa pod gniazdo;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;4
