Projekt_numer;Projekt_zespół;ID. Części;Rewizja;Opis;Numer katalogowy;Materiał;Typ;Obróbka cieplna;Powłoka;Handlowe;Zużywające;Spawanie;Uwagi;Liczba odniesień
2011;600;PRT-A0073451;A;Płyta zespołu tensometra;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;1
2011;600;PRT-A0070418;A;Ściana prawa;-;PA13/3.3547;CNC;-;-;-;-;-;-;1
2011;;VV5QC21-2305261323164560;A;Wyspa zaworowa pomiar momentu;VV5QC21-2305261323164560;SMC;H. Mech.;-;-;O;-;-;-;1
2011;600;PRT-A0071261;A;Podpora TL;-;4H13/1.4034;-;32 HRC±2HRC;-;-;-;-;-;1
;;82515-1-AA-001_VW54_Crafter_FLT_ELatch_HOUSING_VW_09092022_TM;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
;;82516-1-AA-001_HEBEL___VW_CRAFTER_21092022__MK_2;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
0;;82515-1-AA-001_VW54_Crafter_FLT_ELatch_HOUSING_VW_09092022_TM_1;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
;;82652-3-AA-000_FEDER_VW_CRAFTER_FLT_RE_220923_TM;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;6
;;61728-3-01-000_ID_01_ACHSE_VW_CRAFTER_FLT_RE_160112_FD;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
;;82516-1-AA-001_HEBEL___VW_CRAFTER_21092022__MK;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
0;;82517-8-AA-001_20221107_1K_ohne_Vorhaltung;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
;;82518-3-AA-001_LEITERBAHN_VN_54T_CRAFTER_ELATCH_FLT_RE___ID-__220930_ITW_ER;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
;;82518-3-AA-001_LEITERBAHN_VN_54T_CRAFTER_ELATCH_FLT_RE___ID-__220930_ITW_ER_1;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
0;;69213-3-00-000_MIKROSCHALTER;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;3
2011;600;PRT-A0070430;A;Płyta główna eCrafter Tył;;PA6/3.1325;Skrawanie;;Anodować;-;-;-;;1
2011;600;PRT-A0070098;A;Kostka elektryczna;;Materiał <nieokreślony>;Skrawanie;;;-;-;-;;1
2011;600;PRT-A0071263;A;Dokładka PL;;4H13;;32 HRC±2HRC;-;;-;-;;1
