Projekt_numer;Projekt_zespół;ID. Cz    ęści;Rew   izja;Opis;Numer katalogowy;Materiał;Typ;Obróbka cieplna;Powłoka;Handlowe;Zużywające;Spawanie;Uwagi;Liczba odniesień
2011;903;PRT-A   0072977;    0
2011;903;PRT-A0072975;0
2011;903;PRT-A0072946;0
Projekt_numer;Projekt_zespół;ID. Części;Rewizja;Opis;Numer katalogowy;Materiał;Typ;Obróbka cieplna;Powłoka;Handlowe;Zużywające;Spawanie;Uwagi;Liczba odniesień
2011;903;PRT-A0072977;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;903;PRT-A0072975;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;903;PRT-A0072946;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;903;PRT-A0072945;0;-;-;40H/1.7035;-;-;-;-;-;-;-;1
2011;903;PRT-A0072944;0;-;-;C45/1.0503;-;-;-;-;-;-;-;2
2011;903;PRT-A0072943;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072942;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072941;0;-;-;2H13/1.4021;-;-;-;-;-;-;-;1
2011;903;PRT-A0072940;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072939;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072938;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072937;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072936;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072935;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072934;0;-;-;C45/1.0503;-;-;-;-;-;-;-;3
2011;903;PRT-A0072933;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072932;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;903;PRT-A0072931;0;-;-;2H13/1.4021;-;-;-;-;-;-;-;1
2011;903;PRT-A0072930;0;Tulejka centrująca;000.MAG.90.04;C45/1.0503;Promatik;32 HRC±2HRC;Czernić;M;-;-;-;4
2011;903;PRT-A0072929;0;Ogranicznik przód;;50HS/1.5026;Skrawanie;52 HRC±2HRC;Czernić;-;-;-;;1
2011;903;PRT-A0072928;0;Szczęka 2;;50HS/1.5026;Skrawanie;52 HRC±2HRC;Czernić;-;-;-;;1
2011;903;PRT-A0072927;0;Chwytak beczki;;50HS/1.5026;Skrawanie;52 HRC±2HRC;Czernić;-;-;-;;1
2011;903;PRT-A0072926;0;Ogranicznik przód;;50HS/1.5026;Skrawanie;52 HRC±2HRC;Czernić;-;-;-;;1
2011;903;PRT-A0072924;0;Blokada sprężynki;;38HMJ/1.8509;Skrawanie;52 HRC±2HRC;Azotować;-;-;-;;1
2011;903;PRT-A0072923;0;Dystans siłownika;;PA6/3.1325;Skrawanie;-;Anodować;-;-;-;;1
2011;903;PRT-A0072922;0;Obsada blokady sprężynki;;45/1.0530;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;;1
2011;903;PRT-A0072921;0;Oś obrotu;;handlowy wałek prowadzący 1.1213;Skrawanie;-;-;-;-;-;;1
2011;903;PRT-A0072920;0;Kostka zderzaka;;45/1.0530;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;;1
2011;903;PRT-A0072919;0;Ogranicznik szyny;;45/1.0530;Skrawanie;-;Czernić;-;-;-;;1
2011;903;PRT-A0072918;0;Talerzyk;;45/1.0530;Skrawanie;-;Czernić;-;-;-;;1
2011;903;PRT-A0072917;0;Kostka czujnika;;PA6/3.1325;Skrawanie;-;Anodować;-;-;-;;2
2011;903;PRT-A0072916;0;Kostka podporowa;;C45/1.0503;;32 HRC ±2HRC;Czernić;-;-;-;;2
-;991;PRT-A0072915;0;Sprężyna eCrafter przesuwny LH;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;1
-;992;PRT-A0072914;0;Sprężyna eCrafter przesuwny RH;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;1
2011;903;PRT-A0072913;0;Gniazdo kołeczka;-;2H13/1.4021;-;-;-;-;-;-;-;1
2011;990;PRT-A0072879;0;-;-;PC /poliweglan;-;-;-;-;-;-;-;1
2011;990;PRT-A0072878;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;990;PRT-A0072877;0;-;-;Profile BOSCH;-;-;-;-;-;-;-;1
2011;990;PRT-A0072875;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;990;PRT-A0072874;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;990;PRT-A0072873;0;Wspornik blokady;;S235JR/1.0037;Skrawanie;---;Czernić;-;-;-;;5
2011;990;PRT-A0072872;0;Wspornik blokady;;S235JR/1.0037;Skrawanie;---;Czernić;-;-;-;;2
2011;990;PRT-A0072871;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;990;PRT-A0072870;0;-;-;C45/1.0503;-;-;-;-;-;-;-;1
2011;990;PRT-A0072869;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;990;PRT-A0072868;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;990;PRT-A0072867;0;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
2011;990;PRT-A0072866;0;-;-;PA6/3.1325;-;-;-;-;-;-;-;1
2011;990;PRT-A0072865;0;Kostka podporowa;;40H/1.7035;;32 HRC ±2HRC;Czernić;-;-;-;;1
2011;990;PRT-A0072864;0;-;-;PA6/3.1325;-;-;-;-;-;-;-;2
2011;990;PRT-A0072863;0;Mocowanie szyny;;EN AW 7021/C330;Skrawanie;-;Anodować;-;-;-;-;1
2011;990;PRT-A0072862;0;Wspornik blokady;;S235JR/1.0037;Skrawanie;---;Czernić;-;-;-;;1
2011;990;PRT-A0072861;0;Kostka podporowa;;40H/1.7035;;32 HRC ±2HRC;Czernić;-;-;-;;2
2011;990;PRT-A0072860;0;-;-;PA9/3.4365;-;-;-;-;-;-;-;1
